timestamp,airflow_lps,cool_output_kwh,min_rack_inlet_c,cool_demand_kwh,evap_fan_speed_pct,return_air_c,suction_c,supply_air_c,temp_cabin3_back_34u_c,temp_cabin3_back_24u_c,temp_cabin3_back_22u_c,temp_cabin3_back_20u_c,temp_cabin3_back_28u_c,temp_cabin3_back_42u_c,temp_cabin3_back_30u_c,temp_cabin3_back_40u_c,temp_cabin3_back_32u_c,temp_cabin3_back_26u_c,temp_cabin3_back_38u_c,temp_cabin3_back_36u_c,temp_cabin3_back_34u_c_z,temp_cabin3_back_24u_c_z,temp_cabin3_back_22u_c_z,temp_cabin3_back_20u_c_z,temp_cabin3_back_28u_c_z,temp_cabin3_back_42u_c_z,temp_cabin3_back_30u_c_z,temp_cabin3_back_40u_c_z,temp_cabin3_back_32u_c_z,temp_cabin3_back_26u_c_z,temp_cabin3_back_38u_c_z,temp_cabin3_back_36u_c_z
2022-06-03 15:00:00,8.12,3.0,22.9,3.0,77.9,24.6,17.7,21.1,33.2,23.7,24.0,23.5,24.1,28.0,24.3,27.3,25.5,23.4,33.4,30.1,-2.142711380719165,-2.4825969199012046,-2.0854909968654964,-1.0348671737018997,-2.7191575667508032,-1.1829366389668605,-1.9951722946321047,-2.4625563244253805,-2.462758854205574,-2.550095781396664,-2.2900576164786184,-2.554852819094222
2022-06-03 15:00:10,8.11,3.0,22.9,3.0,77.8,24.6,17.6,21.1,33.2,23.7,24.0,23.5,24.1,28.0,24.3,27.4,25.5,23.4,33.4,30.1,-2.142711380719165,-2.4825969199012046,-2.0854909968654964,-1.0348671737018997,-2.7191575667508032,-1.1829366389668605,-1.9951722946321047,-2.021766078668015,-2.462758854205574,-2.550095781396664,-2.2900576164786184,-2.554852819094222
2022-06-03 15:00:20,8.1,3.0,23.0,3.0,77.7,24.6,17.3,21.0,33.2,23.7,24.0,23.5,24.1,28.0,24.3,27.4,25.5,23.4,33.4,30.1,-2.142711380719165,-2.4825969199012046,-2.0854909968654964,-1.0348671737018997,-2.7191575667508032,-1.1829366389668605,-1.9951722946321047,-2.021766078668015,-2.462758854205574,-2.550095781396664,-2.2900576164786184,-2.554852819094222
2022-06-03 15:00:30,8.1,3.0,23.0,3.0,77.7,24.6,17.3,21.0,33.2,23.7,24.0,23.4,24.1,28.0,24.3,27.4,25.5,23.4,33.4,30.0,-2.142711380719165,-2.4825969199012046,-2.0854909968654964,-1.35969922953084,-2.7191575667508032,-1.1829366389668605,-1.9951722946321047,-2.021766078668015,-2.462758854205574,-2.550095781396664,-2.2900576164786184,-2.786004642731687
2022-06-03 15:00:40,8.11,3.1,22.9,3.1,77.8,24.6,17.3,21.0,33.2,23.7,24.0,23.4,24.1,28.0,24.3,27.4,25.5,23.4,33.4,30.0,-2.142711380719165,-2.4825969199012046,-2.0854909968654964,-1.35969922953084,-2.7191575667508032,-1.1829366389668605,-1.9951722946321047,-2.021766078668015,-2.462758854205574,-2.550095781396664,-2.2900576164786184,-2.786004642731687
2022-06-03 15:00:50,8.11,2.9,22.9,2.9,77.9,24.6,17.4,21.0,33.2,23.7,24.0,23.4,24.1,28.0,24.3,27.4,25.5,23.4,33.4,30.0,-2.142711380719165,-2.4825969199012046,-2.0854909968654964,-1.35969922953084,-2.7191575667508032,-1.1829366389668605,-1.9951722946321047,-2.021766078668015,-2.462758854205574,-2.550095781396664,-2.2900576164786184,-2.786004642731687
2022-06-03 15:01:00,8.11,2.9,22.9,2.9,77.9,24.6,17.4,21.0,33.2,23.7,24.0,23.4,24.1,28.0,24.3,27.4,25.5,23.4,33.4,30.2,-2.142711380719165,-2.4825969199012046,-2.0854909968654964,-1.35969922953084,-2.7191575667508032,-1.1829366389668605,-1.9951722946321047,-2.021766078668015,-2.462758854205574,-2.550095781396664,-2.2900576164786184,-2.323700995456765
2022-06-03 15:01:10,8.11,3.0,22.9,3.0,77.8,24.5,17.7,21.0,33.2,23.7,24.0,23.4,24.1,28.0,24.3,27.4,25.5,23.4,33.4,30.2,-2.142711380719165,-2.4825969199012046,-2.0854909968654964,-1.35969922953084,-2.7191575667508032,-1.1829366389668605,-1.9951722946321047,-2.021766078668015,-2.462758854205574,-2.550095781396664,-2.2900576164786184,-2.323700995456765
2022-06-03 15:01:20,8.11,3.0,22.9,3.0,77.9,24.6,17.8,21.0,33.2,23.7,24.0,23.4,24.1,28.0,24.3,27.4,25.5,23.4,33.4,30.2,-2.142711380719165,-2.4825969199012046,-2.0854909968654964,-1.35969922953084,-2.7191575667508032,-1.1829366389668605,-1.9951722946321047,-2.021766078668015,-2.462758854205574,-2.550095781396664,-2.2900576164786184,-2.323700995456765
2022-06-03 15:01:30,8.11,3.0,22.9,3.0,77.9,24.6,17.8,21.0,33.2,23.7,24.0,23.4,24.1,28.0,24.3,27.4,25.5,23.4,33.4,30.2,-2.142711380719165,-2.4825969199012046,-2.0854909968654964,-1.35969922953084,-2.7191575667508032,-1.1829366389668605,-1.9951722946321047,-2.021766078668015,-2.462758854205574,-2.550095781396664,-2.2900576164786184,-2.323700995456765
